id,number,sex,age,read,antisocial,time
480,20,0,11.67,57.143,16.667,3
480,20,0,13.67,70.238,8.333,4
484,21,0,8,79.762,0,1
484,21,0,10,97.619,0,2
484,21,0,12,82.143,8.333,3
484,21,0,14,.,0,4
486,22,1,6.67,36.905,8.333,1
486,22,1,8.67,55.952,8.333,2
486,22,1,10.67,66.667,0,3
486,22,1,12.67,76.19,8.333,4
494,23,1,7.42,27.381,16.667,1
494,23,1,9.42,48.81,50,2
494,23,1,11.42,69.048,41.667,3
494,23,1,13.42,82.143,33.333,4
509,24,1,6.33,25,25,1
509,24,1,8.33,46.429,25,2
509,24,1,10.33,59.524,16.667,3
509,24,1,12.33,63.095,75,4
522,25,0,7.17,35.714,8.333,1
522,25,0,9.17,50,.,2
522,25,0,11.17,66.667,16.667,3
522,25,0,13.17,73.81,8.333,4
533,26,0,6.42,21.429,0,1
533,26,0,8.42,32.143,0,2
533,26,0,10.42,47.619,8.333,3
533,26,0,12.42,53.571,0,4
555,27,0,7.75,45.238,8.333,1
555,27,0,9.75,67.857,25,2
555,27,0,11.75,73.81,0,3
555,27,0,13.75,80.952,0,4
568,28,0,6,21.429,16.667,1
568,28,0,8,50,0,2
568,28,0,10,60.714,8.333,3
568,28,0,12,85.714,16.667,4
637,29,1,6.17,30.952,0,1
637,29,1,8.17,29.762,25,2
637,29,1,10.17,39.286,16.667,3
637,29,1,12.17,52.381,16.667,4
648,30,0,8,42.857,41.667,1
648,30,0,10,61.905,0,2
648,30,0,12,71.429,41.667,3
648,30,0,14,89.286,25,4
689,31,0,6,21.429,0,1
689,31,0,8,28.571,8.333,2
689,31,0,10,44.048,16.667,3
689,31,0,12,64.286,16.667,4
747,32,1,6.67,35.714,8.333,1
747,32,1,8.67,55.952,33.333,2
747,32,1,10.67,77.381,8.333,3
747,32,1,12.67,72.619,8.333,4
756,33,0,6.5,27.381,25,1
756,33,0,8.5,50,16.667,2
756,33,0,10.5,.,.,3
756,33,0,12.5,79.762,41.667,4
761,34,1,7.83,25,8.333,1
761,34,1,9.83,29.762,25,2
761,34,1,11.83,47.619,25,3
761,34,1,13.83,39.286,8.333,4
768,35,0,6.92,33.333,0,1
768,35,0,8.92,59.524,0,2
768,35,0,10.92,71.429,0,3
768,35,0,12.92,72.619,0,4
780,36,1,6.08,21.429,8.333,1
780,36,1,8.08,34.524,25,2
780,36,1,10.08,71.429,16.667,3
780,36,1,12.08,.,25,4
798,37,0,6,21.429,8.333,1
798,37,0,8,28.571,25,2
798,37,0,10,41.667,25,3
798,37,0,12,52.381,41.667,4
813,38,1,7,33.333,8.333,1
813,38,1,9,45.238,16.667,2
813,38,1,11,46.429,25,3
813,38,1,13,59.524,8.333,4
828,39,0,6.42,20.238,16.667,1
828,39,0,8.42,33.333,16.667,2
828,39,0,10.42,46.429,33.333,3
828,39,0,12.42,57.143,25,4
851,40,0,6.5,36.905,16.667,1
851,40,0,8.5,61.905,41.667,2
851,40,0,10.5,73.81,41.667,3
851,40,0,12.5,80.952,58.333,4
858,41,1,6.25,15.476,33.333,1
858,41,1,8.25,27.381,0,2
858,41,1,10.25,29.762,33.333,3
858,41,1,12.25,40.476,33.333,4
865,42,0,7.5,27.381,33.333,1
865,42,0,9.5,48.81,0,2
865,42,0,11.5,.,.,3
865,42,0,13.5,64.286,50,4
894,43,1,6.17,21.429,8.333,1
894,43,1,8.17,41.667,25,2
894,43,1,10.17,44.048,25,3
894,43,1,12.17,66.667,16.667,4
906,44,1,6.5,20.238,0,1
906,44,1,8.5,25,16.667,2
906,44,1,10.5,.,25,3
906,44,1,12.5,29.762,16.667,4
911,45,1,7.75,22.619,25,1
911,45,1,9.75,27.381,0,2
911,45,1,11.75,35.714,33.333,3
911,45,1,13.75,33.333,8.333,4
936,46,0,8,39.286,0,1
936,46,0,10,52.381,0,2
936,46,0,12,70.238,8.333,3
936,46,0,14,69.048,0,4
939,47,1,7.42,36.905,33.333,1
939,47,1,9.42,48.81,16.667,2
939,47,1,11.42,55.952,16.667,3
939,47,1,13.42,60.714,25,4
945,48,0,7.83,32.143,8.333,1
945,48,0,9.83,58.333,0,2
945,48,0,11.83,59.524,8.333,3
945,48,0,13.83,.,0,4
957,49,0,7.08,25,8.333,1
957,49,0,9.08,47.619,8.333,2
957,49,0,11.08,52.381,8.333,3
957,49,0,13.08,.,.,4
963,50,1,6.25,22.619,50,1
963,50,1,8.25,35.714,41.667,2
963,50,1,10.25,48.81,25,3
963,50,1,12.25,52.381,33.333,4
970,51,0,7.58,26.19,16.667,1
970,51,0,9.58,46.429,41.667,2
970,51,0,11.58,67.857,8.333,3
970,51,0,13.58,71.429,16.667,4
1031,52,0,6.33,29.762,0,1
1031,52,0,8.33,47.619,0,2
1031,52,0,10.33,52.381,16.667,3
1031,52,0,12.33,65.476,0,4
1036,53,1,6.92,28.571,0,1
1036,53,1,8.92,46.429,25,2
1036,53,1,10.92,60.714,33.333,3
1036,53,1,12.92,66.667,8.333,4
1048,54,0,6.42,23.81,0,1
1048,54,0,8.42,47.619,8.333,2
1048,54,0,10.42,.,8.333,3
1048,54,0,12.42,67.857,16.667,4
1050,55,0,6.17,25,8.333,1
1050,55,0,8.17,.,0,2
1050,55,0,10.17,53.571,0,3
1050,55,0,12.17,63.095,0,4
1072,56,1,8,20.238,50,1
1072,56,1,10,25,50,2
1072,56,1,12,.,.,3
1072,56,1,14,.,.,4
1076,57,0,6.75,23.81,0,1
1076,57,0,8.75,51.19,0,2
1076,57,0,10.75,59.524,16.667,3
1076,57,0,12.75,67.857,16.667,4
1086,58,0,6.92,26.19,0,1
1086,58,0,8.92,38.095,16.667,2
1086,58,0,10.92,54.762,0,3
1086,58,0,12.92,66.667,8.333,4
1091,59,0,7.5,52.381,0,1
1091,59,0,9.5,.,.,2
1091,59,0,11.5,.,.,3
1091,59,0,13.5,.,.,4
1111,60,0,8,23.81,8.333,1
1111,60,0,10,30.952,0,2
1111,60,0,12,40.476,25,3
1111,60,0,14,.,.,4
1123,61,0,6.5,25,8.333,1
1123,61,0,8.5,38.095,16.667,2
1123,61,0,10.5,58.333,8.333,3
1123,61,0,12.5,70.238,16.667,4
1135,62,0,8,38.095,0,1
1135,62,0,10,47.619,8.333,2
1135,62,0,12,52.381,8.333,3
1135,62,0,14,70.238,25,4
1139,63,0,7.92,28.571,0,1
1139,63,0,9.92,42.857,0,2
1139,63,0,11.92,54.762,0,3
1139,63,0,13.92,60.714,0,4
1166,64,1,6.75,21.429,33.333,1
1166,64,1,8.75,30.952,16.667,2
1166,64,1,10.75,45.238,8.333,3
1166,64,1,12.75,46.429,.,4
1170,65,1,7.83,34.524,25,1
1170,65,1,9.83,47.619,.,2
1170,65,1,11.83,60.714,16.667,3
1170,65,1,13.83,.,.,4
1193,66,1,7.17,30.952,41.667,1
1193,66,1,9.17,41.667,16.667,2
1193,66,1,11.17,48.81,8.333,3
1193,66,1,13.17,73.81,58.333,4
1204,67,0,8,41.667,0,1
1204,67,0,10,51.19,0,2
1204,67,0,12,57.143,25,3
1204,67,0,14,66.667,0,4
1220,68,0,7.58,54.762,8.333,1
1220,68,0,9.58,71.429,25,2
1220,68,0,11.58,72.619,16.667,3
1220,68,0,13.58,72.619,8.333,4
1240,69,0,7.92,55.952,0,1
1240,69,0,9.92,71.429,0,2
1240,69,0,11.92,83.333,0,3
1240,69,0,13.92,95.238,0,4
1258,70,0,7.92,29.762,50,1
1258,70,0,9.92,.,50,2
1258,70,0,11.92,82.143,25,3
1258,70,0,13.92,60.714,33.333,4
1271,71,0,7.67,36.905,16.667,1
1271,71,0,9.67,48.81,8.333,2
1271,71,0,11.67,69.048,0,3
1271,71,0,13.67,88.095,8.333,4
1294,72,0,7.83,47.619,8.333,1
1294,72,0,9.83,65.476,0,2
1294,72,0,11.83,96.429,0,3
1294,72,0,13.83,.,.,4
1331,73,0,7,25,0,1
1331,73,0,9,35.714,16.667,2
1331,73,0,11,47.619,16.667,3
1331,73,0,13,47.619,0,4
1335,74,1,7.5,42.857,8.333,1
1335,74,1,9.5,45.238,8.333,2
1335,74,1,11.5,63.095,8.333,3
1335,74,1,13.5,70.238,16.667,4
1361,75,1,7.33,47.619,8.333,1
1361,75,1,9.33,72.619,16.667,2
1361,75,1,11.33,89.286,8.333,3
1361,75,1,13.33,78.571,16.667,4
1378,76,1,7.67,38.095,25,1
1378,76,1,9.67,42.857,8.333,2
1378,76,1,11.67,50,8.333,3
1378,76,1,13.67,52.381,0,4
1386,77,1,7.58,28.571,41.667,1
1386,77,1,9.58,.,.,2
1386,77,1,11.58,39.286,0,3
1386,77,1,13.58,.,0,4
1392,78,0,7.83,33.333,16.667,1
1392,78,0,9.83,60.714,.,2
1392,78,0,11.83,91.667,0,3
1392,78,0,13.83,79.762,16.667,4
1412,79,1,6.33,66.667,16.667,1
1412,79,1,8.33,54.762,25,2
1412,79,1,10.33,71.429,16.667,3
1412,79,1,12.33,75,16.667,4
1419,80,1,6.83,21.429,8.333,1
1419,80,1,8.83,35.714,8.333,2
1419,80,1,10.83,.,.,3
1419,80,1,12.83,.,.,4
1422,81,0,6.33,21.429,8.333,1
1422,81,0,8.33,45.238,33.333,2
1422,81,0,10.33,55.952,8.333,3
1422,81,0,12.33,.,.,4
1456,82,0,6.75,27.381,0,1
1456,82,0,8.75,52.381,0,2
1456,82,0,10.75,66.667,16.667,3
1456,82,0,12.75,85.714,41.667,4
1463,83,1,7.08,26.19,8.333,1
1463,83,1,9.08,44.048,16.667,2
1463,83,1,11.08,57.143,16.667,3
1463,83,1,13.08,64.286,33.333,4
1466,84,0,7.83,41.667,8.333,1
1466,84,0,9.83,50,0,2
1466,84,0,11.83,58.333,0,3
1466,84,0,13.83,52.381,25,4
1491,85,1,6.58,27.381,16.667,1
1491,85,1,8.58,50,0,2
1491,85,1,10.58,63.095,8.333,3
1491,85,1,12.58,64.286,0,4
1498,86,1,6.58,45.238,8.333,1
1498,86,1,8.58,65.476,25,2
1498,86,1,10.58,92.857,0,3
1498,86,1,12.58,.,16.667,4
1515,87,1,6.5,25,33.333,1
1515,87,1,8.5,35.714,25,2
1515,87,1,10.5,44.048,41.667,3
1515,87,1,12.5,57.143,33.333,4
1530,88,1,7.17,32.143,0,1
1530,88,1,9.17,55.952,0,2
1530,88,1,11.17,70.238,0,3
1530,88,1,13.17,82.143,0,4
1537,89,0,6.25,21.429,8.333,1
1537,89,0,8.25,36.905,0,2
1537,89,0,10.25,44.048,8.333,3
1537,89,0,12.25,51.19,16.667,4
1550,90,0,7.42,46.429,33.333,1
1550,90,0,9.42,60.714,16.667,2
1550,90,0,11.42,.,.,3
1550,90,0,13.42,.,.,4
1552,91,1,6,21.429,25,1
1552,91,1,8,41.667,0,2
1552,91,1,10,53.571,25,3
1552,91,1,12,70.238,0,4
1559,92,0,8,27.381,33.333,1
1559,92,0,10,32.143,33.333,2
1559,92,0,12,48.81,25,3
1559,92,0,14,52.381,16.667,4
1577,93,1,6.67,21.429,33.333,1
1577,93,1,8.67,30.952,66.667,2
1577,93,1,10.67,39.286,50,3
1577,93,1,12.67,.,.,4
1582,94,0,6.33,27.381,41.667,1
1582,94,0,8.33,71.429,8.333,2
1582,94,0,10.33,92.857,0,3
1582,94,0,12.33,.,.,4
1584,95,0,6.92,25,0,1
1584,95,0,8.92,36.905,8.333,2
1584,95,0,10.92,46.429,0,3
1584,95,0,12.92,55.952,8.333,4
1599,96,1,6.17,21.429,16.667,1
1599,96,1,8.17,.,58.333,2
1599,96,1,10.17,28.571,.,3
1599,96,1,12.17,.,.,4
1608,97,1,7.42,45.238,8.333,1
1608,97,1,9.42,57.143,33.333,2
1608,97,1,11.42,.,16.667,3
1608,97,1,13.42,83.333,33.333,4
1621,98,1,7.83,41.667,0,1
1621,98,1,9.83,57.143,8.333,2
1621,98,1,11.83,64.286,25,3
1621,98,1,13.83,73.81,25,4
1639,99,1,6.58,17.857,0,1
1639,99,1,8.58,23.81,8.333,2
1639,99,1,10.58,.,8.333,3
1639,99,1,12.58,30.952,0,4
1648,100,1,7.25,48.81,41.667,1
1648,100,1,9.25,55.952,16.667,2
1648,100,1,11.25,.,.,3
1648,100,1,13.25,76.19,8.333,4
1652,101,0,6.83,42.857,0,1
1652,101,0,8.83,64.286,8.333,2
1652,101,0,10.83,73.81,0,3
1652,101,0,12.83,91.667,0,4
1659,102,1,6.42,44.048,0,1
1659,102,1,8.42,61.905,0,2
1659,102,1,10.42,67.857,25,3
1659,102,1,12.42,92.857,16.667,4
1665,103,0,8,51.19,0,1
1665,103,0,10,59.524,33.333,2
1665,103,0,12,63.095,41.667,3
1665,103,0,14,79.762,25,4
1666,104,1,7.58,55.952,16.667,1
1666,104,1,9.58,63.095,25,2
1666,104,1,11.58,72.619,33.333,3
1666,104,1,13.58,83.333,25,4
1682,105,0,6.5,21.429,16.667,1
1682,105,0,8.5,34.524,8.333,2
1682,105,0,10.5,.,.,3
1682,105,0,12.5,50,8.333,4
1700,106,1,6.17,21.429,0,1
1700,106,1,8.17,53.571,33.333,2
1700,106,1,10.17,66.667,83.333,3
1700,106,1,12.17,69.048,58.333,4
1741,107,1,6.83,25,16.667,1
1741,107,1,8.83,41.667,16.667,2
1741,107,1,10.83,53.571,25,3
1741,107,1,12.83,60.714,16.667,4
1756,108,1,7.58,28.571,25,1
1756,108,1,9.58,44.048,41.667,2
1756,108,1,11.58,55.952,41.667,3
1756,108,1,13.58,65.476,25,4
1763,109,0,6.75,30.952,8.333,1
1763,109,0,8.75,61.905,8.333,2
1763,109,0,10.75,.,33.333,3
1763,109,0,12.75,.,25,4
1810,110,0,6.42,25,25,1
1810,110,0,8.42,27.381,16.667,2
1810,110,0,10.42,.,.,3
1810,110,0,12.42,.,.,4
1828,111,1,6.75,29.762,8.333,1
1828,111,1,8.75,55.952,50,2
1828,111,1,10.75,63.095,16.667,3
1828,111,1,12.75,65.476,25,4
1830,112,0,6.08,22.619,8.333,1
1830,112,0,8.08,65.476,0,2
1830,112,0,10.08,65.476,16.667,3
1830,112,0,12.08,65.476,0,4
1836,113,0,8,25,8.333,1
1836,113,0,10,29.762,8.333,2
1836,113,0,12,36.905,16.667,3
1836,113,0,14,40.476,8.333,4
1843,114,0,7.5,27.381,16.667,1
1843,114,0,9.5,39.286,8.333,2
1843,114,0,11.5,39.286,33.333,3
1843,114,0,13.5,.,.,4
1848,115,1,6,21.429,0,1
1848,115,1,8,29.762,0,2
1848,115,1,10,47.619,0,3
1848,115,1,12,48.81,0,4
1886,116,1,6.58,35.714,8.333,1
1886,116,1,8.58,45.238,16.667,2
1886,116,1,10.58,53.571,8.333,3
1886,116,1,12.58,65.476,8.333,4
1888,117,0,7.25,29.762,0,1
1888,117,0,9.25,30.952,0,2
1888,117,0,11.25,44.048,0,3
1888,117,0,13.25,41.667,0,4
1926,118,1,6.08,20.238,16.667,1
1926,118,1,8.08,26.19,16.667,2
1926,118,1,10.08,.,0,3
1926,118,1,12.08,.,.,4
1934,119,1,7.42,38.095,58.333,1
1934,119,1,9.42,65.476,41.667,2
1934,119,1,11.42,66.667,41.667,3
1934,119,1,13.42,58.333,33.333,4
1940,120,0,6.42,22.619,0,1
1940,120,0,8.42,33.333,50,2
1940,120,0,10.42,39.286,25,3
1940,120,0,12.42,42.857,25,4
1969,121,1,6.42,21.429,8.333,1
1969,121,1,8.42,57.143,41.667,2
1969,121,1,10.42,77.381,16.667,3
1969,121,1,12.42,80.952,16.667,4
1975,122,1,6.83,28.571,33.333,1
1975,122,1,8.83,45.238,25,2
1975,122,1,10.83,55.952,33.333,3
1975,122,1,12.83,61.905,33.333,4
1996,123,1,7.25,21.429,25,1
1996,123,1,9.25,48.81,8.333,2
1996,123,1,11.25,63.095,0,3
1996,123,1,13.25,94.048,.,4
2025,124,1,6.67,34.524,33.333,1
2025,124,1,8.67,34.524,33.333,2
2025,124,1,10.67,53.571,66.667,3
2025,124,1,12.67,.,.,4
2031,125,0,7.42,33.333,25,1
2031,125,0,9.42,45.238,75,2
2031,125,0,11.42,51.19,33.333,3
2031,125,0,13.42,59.524,58.333,4
2039,126,1,6,20.238,0,1
2039,126,1,8,50,25,2
2039,126,1,10,.,.,3
2039,126,1,12,.,.,4
2058,127,1,6.75,41.667,8.333,1
2058,127,1,8.75,50,0,2
2058,127,1,10.75,70.238,16.667,3
2058,127,1,12.75,75,33.333,4
2069,128,1,6,20.238,8.333,1
2069,128,1,8,30.952,16.667,2
2069,128,1,10,36.905,25,3
2069,128,1,12,41.667,16.667,4
2199,129,0,6.25,21.429,0,1
2199,129,0,8.25,32.143,0,2
2199,129,0,10.25,41.667,8.333,3
2199,129,0,12.25,44.048,0,4
2201,130,1,7.25,44.048,0,1
2201,130,1,9.25,70.238,0,2
2201,130,1,11.25,72.619,0,3
2201,130,1,13.25,98.81,0,4
2271,131,1,6.75,36.905,16.667,1
2271,131,1,8.75,.,16.667,2
2271,131,1,10.75,65.476,33.333,3
2271,131,1,12.75,73.81,41.667,4
2287,132,0,7.92,41.667,25,1
2287,132,0,9.92,53.571,8.333,2
2287,132,0,11.92,57.143,16.667,3
2287,132,0,13.92,.,25,4
2291,133,0,6.5,19.048,41.667,1
2291,133,0,8.5,26.19,16.667,2
2291,133,0,10.5,.,8.333,3
2291,133,0,12.5,32.143,16.667,4
2375,134,0,6,23.81,0,1
2375,134,0,8,39.286,8.333,2
2375,134,0,10,47.619,8.333,3
2375,134,0,12,55.952,8.333,4
2376,135,1,6.58,23.81,16.667,1
2376,135,1,8.58,27.381,8.333,2
2376,135,1,10.58,46.429,0,3
2376,135,1,12.58,53.571,16.667,4
2396,136,1,6.67,23.81,25,1
2396,136,1,8.67,35.714,8.333,2
2396,136,1,10.67,.,.,3
2396,136,1,12.67,69.048,0,4
2454,137,0,6.17,23.81,0,1
2454,137,0,8.17,42.857,0,2
2454,137,0,10.17,54.762,16.667,3
2454,137,0,12.17,65.476,0,4
2480,138,0,6.5,21.429,50,1
2480,138,0,8.5,29.762,16.667,2
2480,138,0,10.5,34.524,58.333,3
2480,138,0,12.5,41.667,25,4
2601,139,0,7.67,57.143,33.333,1
2601,139,0,9.67,63.095,16.667,2
2601,139,0,11.67,76.19,0,3
2601,139,0,13.67,.,0,4
2635,140,1,7,23.81,16.667,1
2635,140,1,9,30.952,50,2
2635,140,1,11,.,.,3
2635,140,1,13,46.429,41.667,4
2655,141,0,6.08,23.81,50,1
2655,141,0,8.08,57.143,16.667,2
2655,141,0,10.08,.,0,3
2655,141,0,12.08,75,8.333,4
2678,142,0,8,53.571,16.667,1
2678,142,0,10,69.048,25,2
2678,142,0,12,90.476,50,3
2678,142,0,14,95.238,41.667,4
2696,143,1,7.67,23.81,33.333,1
2696,143,1,9.67,41.667,.,2
2696,143,1,11.67,51.19,16.667,3
2696,143,1,13.67,.,0,4
2716,144,0,6.67,41.667,16.667,1
2716,144,0,8.67,59.524,25,2
2716,144,0,10.67,65.476,16.667,3
2716,144,0,12.67,91.667,0,4
2720,145,1,7.92,21.429,41.667,1
2720,145,1,9.92,42.857,8.333,2
2720,145,1,11.92,51.19,50,3
2720,145,1,13.92,60.714,33.333,4
2724,146,1,6.42,21.429,75,1
2724,146,1,8.42,40.476,66.667,2
2724,146,1,10.42,.,83.333,3
2724,146,1,12.42,58.333,75,4
2780,147,0,6.83,28.571,25,1
2780,147,0,8.83,64.286,0,2
2780,147,0,10.83,77.381,0,3
2780,147,0,12.83,91.667,0,4
2781,148,1,7.92,50,25,1
2781,148,1,9.92,73.81,33.333,2
2781,148,1,11.92,69.048,8.333,3
2781,148,1,13.92,72.619,8.333,4
2810,149,0,6.83,38.095,16.667,1
2810,149,0,8.83,55.952,16.667,2
2810,149,0,10.83,76.19,0,3
2810,149,0,12.83,88.095,0,4
2833,150,1,7.58,25,8.333,1
2833,150,1,9.58,.,.,2
2833,150,1,11.58,50,0,3
2833,150,1,13.58,.,0,4
2884,151,1,7.58,39.286,33.333,1
2884,151,1,9.58,58.333,25,2
2884,151,1,11.58,72.619,25,3
2884,151,1,13.58,80.952,41.667,4
2890,152,0,7.17,32.143,0,1
2890,152,0,9.17,58.333,0,2
2890,152,0,11.17,63.095,.,3
2890,152,0,13.17,78.571,0,4
2895,153,0,7.17,41.667,0,1
2895,153,0,9.17,70.238,0,2
2895,153,0,11.17,92.857,0,3
2895,153,0,13.17,84.524,0,4
2957,154,0,6.67,34.524,16.667,1
2957,154,0,8.67,53.571,0,2
2957,154,0,10.67,57.143,25,3
2957,154,0,12.67,76.19,33.333,4
3013,155,0,7.17,26.19,8.333,1
3013,155,0,9.17,55.952,8.333,2
3013,155,0,11.17,45.238,0,3
3013,155,0,13.17,67.857,0,4
3033,156,0,7.83,32.143,8.333,1
3033,156,0,9.83,46.429,0,2
3033,156,0,11.83,58.333,25,3
3033,156,0,13.83,65.476,0,4
3039,157,1,7.33,47.619,25,1
3039,157,1,9.33,.,8.333,2
3039,157,1,11.33,.,8.333,3
3039,157,1,13.33,.,.,4
3055,158,1,7.58,26.19,0,1
3055,158,1,9.58,45.238,16.667,2
3055,158,1,11.58,.,0,3
3055,158,1,13.58,64.286,0,4
3059,159,0,6.83,21.429,0,1
3059,159,0,8.83,39.286,0,2
3059,159,0,10.83,59.524,0,3
3059,159,0,12.83,73.81,0,4
3082,160,1,6.08,19.048,25,1
3082,160,1,8.08,32.143,33.333,2
3082,160,1,10.08,47.619,25,3
3082,160,1,12.08,67.857,25,4
3112,161,1,7.25,26.19,16.667,1
3112,161,1,9.25,71.429,8.333,2
3112,161,1,11.25,59.524,16.667,3
3112,161,1,13.25,66.667,0,4
3118,162,0,7.17,27.381,0,1
3118,162,0,9.17,.,.,2
3118,162,0,11.17,.,.,3
3118,162,0,13.17,.,8.333,4
3158,163,0,6.92,27.381,16.667,1
3158,163,0,8.92,40.476,33.333,2
3158,163,0,10.92,53.571,8.333,3
3158,163,0,12.92,57.143,8.333,4
3164,164,1,8,51.19,8.333,1
3164,164,1,10,61.905,0,2
3164,164,1,12,.,.,3
3164,164,1,14,.,.,4
3192,165,1,7.08,25,0,1
3192,165,1,9.08,48.81,25,2
3192,165,1,11.08,58.333,16.667,3
3192,165,1,13.08,69.048,41.667,4
3223,166,1,6.08,21.429,0,1
3223,166,1,8.08,.,.,2
3223,166,1,10.08,.,16.667,3
3223,166,1,12.08,65.476,8.333,4
3239,167,1,6.67,27.381,16.667,1
3239,167,1,8.67,30.952,0,2
3239,167,1,10.67,36.905,8.333,3
3239,167,1,12.67,47.619,0,4
3247,168,0,7,45.238,8.333,1
3247,168,0,9,71.429,0,2
3247,168,0,11,71.429,0,3
3247,168,0,13,82.143,0,4
3294,169,1,6.75,21.429,0,1
3294,169,1,8.75,26.19,0,2
3294,169,1,10.75,65.476,8.333,3
3294,169,1,12.75,.,16.667,4
3297,170,0,7.58,36.905,0,1
3297,170,0,9.58,51.19,0,2
3297,170,0,11.58,.,0,3
3297,170,0,13.58,63.095,33.333,4
3310,171,1,7.92,27.381,25,1
3310,171,1,9.92,29.762,25,2
3310,171,1,11.92,34.524,16.667,3
3310,171,1,13.92,42.857,50,4
3329,172,1,6,20.238,16.667,1
3329,172,1,8,.,.,2
3329,172,1,10,.,.,3
3329,172,1,12,.,.,4
3337,173,0,6.67,28.571,0,1
3337,173,0,8.67,48.81,8.333,2
3337,173,0,10.67,.,.,3
3337,173,0,12.67,.,.,4
3352,174,1,6.42,28.571,16.667,1
3352,174,1,8.42,88.095,8.333,2
3352,174,1,10.42,70.238,8.333,3
3352,174,1,12.42,.,8.333,4
3382,175,1,6.67,32.143,41.667,1
3382,175,1,8.67,71.429,33.333,2
3382,175,1,10.67,.,.,3
3382,175,1,12.67,.,41.667,4
3404,176,1,7.42,40.476,8.333,1
3404,176,1,9.42,.,.,2
3404,176,1,11.42,61.905,16.667,3
3404,176,1,13.42,90.476,0,4
3405,177,0,6,23.81,0,1
3405,177,0,8,42.857,0,2
3405,177,0,10,41.667,0,3
3405,177,0,12,60.714,0,4
3410,178,1,7.08,23.81,16.667,1
3410,178,1,9.08,34.524,41.667,2
3410,178,1,11.08,45.238,50,3
3410,178,1,13.08,52.381,58.333,4
3424,179,0,6.5,26.19,8.333,1
3424,179,0,8.5,.,.,2
3424,179,0,10.5,.,0,3
3424,179,0,12.5,76.19,0,4
3443,180,1,6.58,15.476,25,1
3443,180,1,8.58,52.381,16.667,2
3443,180,1,10.58,28.571,33.333,3
3443,180,1,12.58,.,33.333,4
3483,181,1,7.58,25,50,1
3483,181,1,9.58,48.81,41.667,2
3483,181,1,11.58,50,33.333,3
3483,181,1,13.58,51.19,41.667,4
3486,182,1,6.17,17.857,16.667,1
3486,182,1,8.17,30.952,8.333,2
3486,182,1,10.17,63.095,0,3
3486,182,1,12.17,66.667,25,4
3500,183,1,7.08,14.286,25,1
3500,183,1,9.08,23.81,25,2
3500,183,1,11.08,36.905,33.333,3
3500,183,1,13.08,40.476,50,4
